iteration,chain,σ,Q1,Q2,Q3,Q4,Q5,Q6,Q7,r,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1001,1,13245.382769962405,0.015165618190774808,0.014257978334580113,0.007854105071529135,0.0022132467195818068,0.001486453488970229,0.005917149621614137,0.0017390097395689938,3.436047386013633e8,-1139.8624269843785,7.0,1.0,0.6780646415563923,-1139.8624269843785,1147.5182477694357,0.0911527244240915,1.404983175249754,2.0,0.0,0.3771706268239447,0.3771706268239447
1002,1,14557.352039935138,0.0008237526465432121,0.0029999663031332496,0.0026365213856092604,0.002058214508114971,0.01136550707983564,0.015414870233695333,0.0011062138559203597,1.1173825673209293e8,-1140.899327527856,7.0,1.0,0.7728666069649884,-1140.899327527856,1145.95354006686,0.36651116407438167,0.5045213026071451,3.0,0.0,0.3771706268239447,0.3771706268239447
1003,1,13982.029001336436,0.0048231194815632405,0.021785840554133285,0.006034624784110491,0.00033157255787046996,0.006037730780155405,0.004333012026830108,0.015974264289790107,2.6471064221129677e8,-1137.8753768364445,15.0,1.0,0.9824398663448585,-1137.8753768364445,1143.9390135756353,-0.1463094971652481,-0.3552701378216625,3.0,0.0,0.3771706268239447,0.3771706268239447
1004,1,14010.721003022632,0.007143362853541467,0.004527204917321306,0.015604322244777206,0.0008369904746983784,0.003452434244422068,0.00038706275008877866,0.007436867378440173,3.328640232990378e8,-1139.8407294704677,7.0,1.0,0.9448348718841887,-1139.8407294704677,1142.3455895057957,0.02457668927377199,-0.5435798543612691,3.0,0.0,0.3771706268239447,0.3771706268239447
1005,1,13995.855508205774,0.006312316314144898,0.005772145849046553,0.005405505141930014,0.007455126605571281,0.01847941861715098,0.012613943455517994,0.008250759899334709,2.2923047885613582e8,-1133.6976124947187,7.0,1.0,0.9724287061620734,-1133.6976124947187,1140.3987980450934,-0.40683199739919473,-0.40683199739919473,3.0,0.0,0.3771706268239447,0.3771706268239447
1006,1,13959.119242323331,0.010400472225728659,0.010284900993435979,0.012266282766409342,0.0024405995417158496,0.0035221821083581666,0.006947729762829024,0.010700276489272301,2.3374621450168848e8,-1134.0222460008988,7.0,1.0,0.9699541812195493,-1134.0222460008988,1136.7223104877667,-0.10378779418329032,0.18989779615321822,3.0,0.0,0.3771706268239447,0.3771706268239447
1007,1,13760.729100831955,0.009829559917376761,0.017361808222844072,0.00799154355202481,0.0006509336855365722,0.010972405175282939,0.005815005397501135,0.01607419211744663,1.1284616638335653e8,-1137.3350352985074,7.0,1.0,0.9461716621482111,-1137.3350352985074,1138.6166456628284,0.09206590777239398,0.17127883274815758,2.0,0.0,0.3771706268239447,0.3771706268239447
1008,1,14587.952641789072,0.012690102996850786,0.009435624430064014,0.002570590713759613,0.0012422027237293817,0.012306390510938285,0.012046968256700156,0.011030983040694544,1.4639050416151446e8,-1135.7042413750353,7.0,1.0,0.9663207195362159,-1135.7042413750353,1140.2035509185546,-0.055321083046010244,0.26886681250311995,3.0,0.0,0.3771706268239447,0.3771706268239447
1009,1,13619.305388584718,0.007831175936557732,0.0061027823371657425,0.01849980875193159,0.0038792414976363556,0.00770435537405358,0.007043312760044473,0.008940124795292954,3.120155903734554e8,-1134.7393182849491,15.0,1.0,0.9874807810197922,-1134.7393182849491,1136.658795749543,-0.10338791681306247,-0.24492410775519602,3.0,0.0,0.3771706268239447,0.3771706268239447
1010,1,12930.203082264454,0.007689403624183848,0.015317639413356532,0.010813877167013314,0.006346172512927258,0.01286058750441066,0.006570774079096945,0.026585976253101672,3.400070626552962e8,-1138.7488431038435,7.0,1.0,0.9711715885064516,-1138.7488431038435,1140.7446543171268,0.22086784332259413,0.22086784332259413,3.0,0.0,0.3771706268239447,0.3771706268239447
